2026-04-09 22:23:07,988 [INFO] main: === Lead Agent starting ===
2026-04-09 22:23:15,741 [INFO] main: === Lead Agent starting ===
2026-04-09 22:23:15,771 [INFO] main: Scraping Google Places...
2026-04-09 22:23:15,772 [INFO] googlemaps.client: API queries_quota: 60
2026-04-09 22:23:15,772 [INFO] scraper: Searching: restaurant in Johannesburg, South Africa
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJLyxCKJIMlR4RzTlmSOyw4h4: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJOYt9nUkRlR4R44KOWY9O_aQ: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJsTfN24YNlR4RoUDZTW5FKYM: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJ5296vL0NlR4RqfRrzO5SEaE: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJXcVwdIsNlR4R2fyq18HlSt0: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJxTF4lYkMlR4RLkAJVWK-tjY: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJJYivd4YOlR4Rzk1ohAun13w: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJZx7e7ZoMlR4R623HZvoXK0Y: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,928 [ERROR] scraper: Error fetching details for place_id ChIJP9yV3wdVlB4RC8i40mctAEQ: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,929 [ERROR] scraper: Error fetching details for place_id ChIJAw7GSNVylR4RPYMzEc0CK6A: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,929 [ERROR] scraper: Error fetching details for place_id ChIJX4nx2HgNlR4RZctR6kMijaI: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,929 [ERROR] scraper: Error fetching details for place_id ChIJbTtnvQueQgERfMihnpjJBf8: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
2026-04-09 22:23:16,929 [ERROR] scraper: Error fetching details for place_id ChIJbyvz8gAPlR4RQale4dDDNI4: Valid values for the `fields` param for `place` are 'geometry/viewport/northeast/lat', 'address_component', 'review', 'current_opening_hours', 'formatted_phone_number', 'url', 'permanently_closed', 'editorial_summary', 'reservable', 'opening_hours', 'serves_breakfast', 'place_id', 'business_status', 'geometry/viewport/northeast/lng', 'name', 'serves_wine', 'serves_beer', 'international_phone_number', 'geometry/viewport', 'website', 'geometry', 'utc_offset', 'reviews', 'type', 'geometry/viewport/southwest', 'wheelchair_accessible_entrance', 'serves_dinner', 'geometry/location', 'serves_brunch', 'price_level', 'geometry/location/lat', 'photo', 'rating', 'adr_address', 'geometry/viewport/southwest/lng', 'dine_in', 'icon', 'plus_code', 'geometry/viewport/northeast', 'geometry/viewport/southwest/lat', 'vicinity', 'secondary_opening_hours', 'formatted_address', 'curbside_pickup', 'delivery', 'serves_lunch', 'user_ratings_total', 'geometry/location/lng', 'takeout', 'serves_vegetarian_food', these given field(s) are invalid: 'types'
